Dataset,Model,Split,RMSE,R2
CY-Bench Wheat (Europe),Random Forest,Random,0.709 +/- 0.032,0.671 +/- 0.020
CY-Bench Wheat (Europe),Random Forest,Spatial,0.877 +/- 0.147,0.434 +/- 0.104
CY-Bench Wheat (Europe),Random Forest,Temporal,0.827 +/- 0.133,0.265 +/- 0.377
CY-Bench Wheat (Europe),Random Forest,Spatiotemporal,1.147 +/- 0.064,-0.240 +/- 0.229
CY-Bench Wheat (Europe),XGBoost,Random,0.701 +/- 0.020,0.678 +/- 0.020
CY-Bench Wheat (Europe),XGBoost,Spatial,0.884 +/- 0.092,0.420 +/- 0.079
CY-Bench Wheat (Europe),XGBoost,Temporal,0.851 +/- 0.156,0.220 +/- 0.419
CY-Bench Wheat (Europe),XGBoost,Spatiotemporal,1.179 +/- 0.021,-0.308 +/- 0.212
CY-Bench Maize (Zambia),Null Baseline,Random,0.940 +/- 0.061,-0.005 +/- 0.004
CY-Bench Maize (Zambia),Null Baseline,Spatial,0.941 +/- 0.071,-0.068 +/- 0.082
CY-Bench Maize (Zambia),Null Baseline,Temporal,0.980 +/- 0.154,-0.307 +/- 0.252
CY-Bench Maize (Zambia),Null Baseline,Spatiotemporal,1.081 +/- 0.047,-0.261 +/- 0.206
CY-Bench Maize (Zambia),Ridge,Random,0.753 +/- 0.072,0.356 +/- 0.047
CY-Bench Maize (Zambia),Ridge,Spatial,0.766 +/- 0.062,0.293 +/- 0.060
CY-Bench Maize (Zambia),Ridge,Temporal,0.769 +/- 0.191,0.180 +/- 0.318
CY-Bench Maize (Zambia),Ridge,Spatiotemporal,0.828 +/- 0.025,0.264 +/- 0.103
CY-Bench Maize (Zambia),Random Forest,Random,0.685 +/- 0.065,0.466 +/- 0.051
CY-Bench Maize (Zambia),Random Forest,Spatial,0.788 +/- 0.076,0.250 +/- 0.098
CY-Bench Maize (Zambia),Random Forest,Temporal,0.722 +/- 0.186,0.264 +/- 0.303
CY-Bench Maize (Zambia),Random Forest,Spatiotemporal,0.801 +/- 0.052,0.308 +/- 0.114
CY-Bench Maize (Zambia),XGBoost,Random,0.725 +/- 0.073,0.402 +/- 0.063
CY-Bench Maize (Zambia),XGBoost,Spatial,0.831 +/- 0.087,0.171 +/- 0.056
CY-Bench Maize (Zambia),XGBoost,Temporal,0.762 +/- 0.189,0.177 +/- 0.336
CY-Bench Maize (Zambia),XGBoost,Spatiotemporal,0.832 +/- 0.052,0.251 +/- 0.140
SustainBench Soybean,Null Baseline,Random,0.690 +/- 0.003,-0.000 +/- 0.000
SustainBench Soybean,Null Baseline,Spatial,0.699 +/- 0.030,-0.001 +/- 0.001
SustainBench Soybean,Null Baseline,Temporal,0.752 +/- 0.081,-0.384 +/- 0.578
SustainBench Soybean,Null Baseline,Spatiotemporal,0.812 +/- 0.009,-0.691 +/- 0.153
SustainBench Soybean,Ridge,Random,0.683 +/- 0.128,-0.014 +/- 0.398
SustainBench Soybean,Ridge,Spatial,0.670 +/- 0.137,0.040 +/- 0.434
SustainBench Soybean,Ridge,Temporal,0.670 +/- 0.079,-0.120 +/- 0.557
SustainBench Soybean,Ridge,Spatiotemporal,0.761 +/- 0.010,-0.487 +/- 0.149
SustainBench Soybean,Random Forest,Random,0.537 +/- 0.012,0.394 +/- 0.023
SustainBench Soybean,Random Forest,Spatial,0.544 +/- 0.021,0.392 +/- 0.029
SustainBench Soybean,Random Forest,Temporal,0.653 +/- 0.072,-0.058 +/- 0.497
SustainBench Soybean,Random Forest,Spatiotemporal,0.742 +/- 0.016,-0.411 +/- 0.108
SustainBench Soybean,XGBoost,Random,0.556 +/- 0.010,0.351 +/- 0.019
SustainBench Soybean,XGBoost,Spatial,0.561 +/- 0.020,0.356 +/- 0.016
SustainBench Soybean,XGBoost,Temporal,0.668 +/- 0.082,-0.111 +/- 0.548
SustainBench Soybean,XGBoost,Spatiotemporal,0.747 +/- 0.015,-0.433 +/- 0.129
